,Date Start,Country,Keywords,Source
870,"Mar 19, 2020",US:N Carolina,financial incentive,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_North_Carolina#Government_response
875,"Mar 20, 2020",US:Georgia,sport cancellation,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response
893,"Mar 19, 2020",Croatia,"airport closure, case reporting",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Croatia
909,"Mar 18, 2020",Denmark,"business suspension, restaurant limitations",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark
913,"Mar 17, 2020",Estonia,international travel limitation,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Estonia
919,"Mar 15, 2020",Israel,school closure,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel
974,"Jan 24, 2020",US: Illinois,"first case, source tracing",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#cite_note-51
982,"Feb 05, 2020",US: Wisconsin,"first case, source tracing",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wisconsin
1007,"Mar 19, 2020",Greece,financial incentive,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Greece
1015,"Mar 19, 2020",US: Indiana,"nursery schools closure, school closure",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indiana
